ts,has_bbox,conf,cx,cy,w,h,active_zone,zone_timer_sec,fps_receiver,fps_infer,fps_stream,jitter_px
1767349017.1759276,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.47,9.00,0.00
1767349017.3053088,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349017.4350755,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349017.704931,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349017.8331914,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349017.9720213,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349018.1019638,0,0.0000,0.00,0.00,0,0,,0.00,61.35,7.48,10.00,0.00
1767349018.2505913,0,0.0000,0.00,0.00,0,0,,0.00,57.63,7.48,10.00,0.00
1767349018.3756382,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349018.499126,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349018.6461644,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349018.7819538,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349018.911734,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349019.0576897,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349019.1831708,0,0.0000,0.00,0.00,0,0,,0.00,57.63,6.54,10.85,0.00
1767349019.4405613,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.85,0.00
1767349019.578652,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349019.702714,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349019.8313565,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349019.9664319,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349020.099669,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349020.227867,0,0.0000,0.00,0.00,0,0,,0.00,61.30,6.57,10.92,0.00
1767349020.359183,0,0.0000,0.00,0.00,0,0,,0.00,58.99,6.57,10.92,0.00
1767349020.4851062,0,0.0000,0.00,0.00,0,0,,0.00,58.99,7.66,10.92,0.00
1767349020.6279445,0,0.0000,0.00,0.00,0,0,,0.00,58.99,7.66,10.53,0.00
1767349020.7824006,0,0.0000,0.00,0.00,0,0,,0.00,58.99,7.66,10.53,0.00
1767349021.0442765,0,0.0000,0.00,0.00,0,0,,0.00,58.99,7.66,10.53,0.00
1767349021.1794913,0,0.0000,0.00,0.00,0,0,,0.00,58.99,7.66,10.53,0.00
1767349021.3054569,0,0.0000,0.00,0.00,0,0,,0.00,62.73,7.66,10.53,0.00
1767349021.4324713,0,0.0000,0.00,0.00,0,0,,0.00,62.73,7.66,10.53,0.00
1767349021.5630786,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.53,0.00
1767349021.698308,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.20,0.00
1767349021.8312776,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.20,0.00
1767349021.9624395,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.20,0.00
1767349022.0925035,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.20,0.00
1767349022.2399366,0,0.0000,0.00,0.00,0,0,,0.00,62.73,6.49,10.20,0.00
1767349022.369843,0,0.0000,0.00,0.00,0,0,,0.00,60.21,6.49,10.20,0.00
1767349022.4987652,0,0.0000,0.00,0.00,0,0,,0.00,60.21,6.49,10.20,0.00
1767349022.627304,0,0.0000,0.00,0.00,0,0,,0.00,60.21,7.52,10.20,0.00
1767349022.7707994,0,0.0000,0.00,0.00,0,0,,0.00,60.21,7.52,10.34,0.00
1767349022.914967,0,0.0000,0.00,0.00,0,0,,0.00,60.21,7.52,10.34,0.00
1767349023.1632924,0,0.0000,0.00,0.00,0,0,,0.00,60.21,7.52,10.34,0.00
1767349023.3171513,0,0.0000,0.00,0.00,0,0,,0.00,60.21,7.52,10.34,0.00
1767349023.4422069,0,0.0000,0.00,0.00,0,0,,0.00,56.39,7.52,10.34,0.00
1767349023.5723438,0,0.0000,0.00,0.00,0,0,,0.00,56.39,7.52,10.34,0.00
1767349023.7031417,0,0.0000,0.00,0.00,0,0,,0.00,56.39,6.51,10.34,0.00
1767349023.836927,0,0.0000,0.00,0.00,0,0,,0.00,56.39,6.51,10.22,0.00
1767349023.9627059,0,0.0000,0.00,0.00,0,0,,0.00,56.39,6.51,10.22,0.00
1767349024.0933826,0,0.0000,0.00,0.00,0,0,,0.00,56.39,6.51,10.22,0.00
1767349024.224219,0,0.0000,0.00,0.00,0,0,,0.00,56.39,6.51,10.22,0.00
1767349024.377217,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.51,10.22,0.00
1767349024.5084593,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.51,10.22,0.00
1767349024.7856503,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.47,10.22,0.00
1767349024.9153574,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.47,9.24,0.00
1767349025.1709993,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.47,9.24,0.00
1767349025.2971017,0,0.0000,0.00,0.00,0,0,,0.00,62.64,6.47,9.24,0.00
1767349025.4395325,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.47,9.24,0.00
1767349025.565266,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.47,9.24,0.00
1767349025.7079542,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.47,9.24,0.00
1767349025.8346422,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.67,9.24,0.00
1767349025.9637778,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.67,8.58,0.00
1767349026.0951424,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.67,8.58,0.00
1767349026.2209685,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.67,8.58,0.00
1767349026.3613782,0,0.0000,0.00,0.00,0,0,,0.00,58.35,6.67,8.58,0.00
1767349026.4920611,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.67,8.58,0.00
1767349026.6417267,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.67,8.58,0.00
1767349026.7763584,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.67,8.58,0.00
1767349026.891755,0,0.0000,0.00,0.00,0,0,,0.00,63.13,7.57,8.58,0.00
1767349027.0326316,0,0.0000,0.00,0.00,0,0,,0.00,63.13,7.57,9.46,0.00
1767349027.1586678,0,0.0000,0.00,0.00,0,0,,0.00,63.13,7.57,9.46,0.00
1767349027.2903159,0,0.0000,0.00,0.00,0,0,,0.00,63.13,7.57,9.46,0.00
1767349027.4396048,0,0.0000,0.00,0.00,0,0,,0.00,63.13,7.57,9.46,0.00
1767349027.5653698,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.57,9.46,0.00
1767349027.6955597,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.57,9.46,0.00
1767349027.830325,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.57,9.46,0.00
1767349027.962465,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.47,9.46,0.00
1767349028.0939765,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.47,9.34,0.00
1767349028.2449827,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.47,9.34,0.00
1767349028.3694077,0,0.0000,0.00,0.00,0,0,,0.00,54.47,7.47,9.34,0.00
1767349028.4927561,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.47,9.34,0.00
1767349028.6256363,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.47,9.34,0.00
1767349028.7522917,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.47,9.34,0.00
1767349028.8912172,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.47,9.34,0.00
1767349029.04367,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.40,9.34,0.00
1767349029.166698,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.40,9.25,0.00
1767349029.2889328,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.40,9.25,0.00
1767349029.426874,0,0.0000,0.00,0.00,0,0,,0.00,65.95,7.40,9.25,0.00
1767349029.569331,0,0.0000,0.00,0.00,0,0,,0.00,56.82,7.40,9.25,0.00
1767349029.8318903,0,0.0000,0.00,0.00,0,0,,0.00,56.82,7.40,9.25,0.00
1767349029.9726658,0,0.0000,0.00,0.00,0,0,,0.00,56.82,7.40,9.25,0.00
1767349030.2334516,0,0.0000,0.00,0.00,0,0,,0.00,56.82,5.88,9.25,0.00
1767349030.3805113,0,0.0000,0.00,0.00,0,0,,0.00,56.82,5.88,9.25,0.00
1767349030.6132348,0,0.0000,0.00,0.00,0,0,,0.00,63.13,5.88,9.25,0.00
1767349030.765318,0,0.0000,0.00,0.00,0,0,,0.00,63.13,5.88,9.25,0.00
1767349030.8958352,0,0.0000,0.00,0.00,0,0,,0.00,63.13,5.88,9.25,0.00
1767349031.0173507,0,0.0000,0.00,0.00,0,0,,0.00,63.13,5.88,9.25,0.00
1767349031.1755075,0,0.0000,0.00,0.00,0,0,,0.00,63.13,5.88,9.25,0.00
1767349031.2996361,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.57,7.98,0.00
1767349031.4300137,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.57,7.98,0.00
1767349031.5650454,0,0.0000,0.00,0.00,0,0,,0.00,63.13,6.57,7.98,0.00
1767349031.6965742,0,0.0000,0.00,0.00,0,0,,0.00,54.76,6.57,7.98,0.00
1767349031.8282547,0,0.0000,0.00,0.00,0,0,,0.00,54.76,6.57,7.98,0.00
1767349031.9572792,0,0.0000,0.00,0.00,0,0,,0.00,54.76,6.57,7.98,0.00
1767349032.0950947,0,0.0000,0.00,0.00,0,0,,0.00,54.76,6.57,7.98,0.00
1767349032.2267573,0,0.0000,0.00,0.00,0,0,,0.00,54.76,6.57,7.98,0.00
1767349032.3781428,0,0.0000,0.00,0.00,0,0,,0.00,54.76,7.42,7.98,0.00
1767349032.519021,0,0.0000,0.00,0.00,0,0,,0.00,54.76,7.42,9.63,0.00
1767349032.755875,0,0.0000,0.00,0.00,0,0,,0.00,64.57,7.42,9.63,0.00
1767349032.892292,0,0.0000,0.00,0.00,0,0,,0.00,64.57,7.42,9.63,0.00
1767349033.0303102,0,0.0000,0.00,0.00,0,0,,0.00,64.57,7.42,9.63,0.00
1767349033.1584759,0,0.0000,0.00,0.00,0,0,,0.00,64.57,7.42,9.63,0.00
1767349033.2984529,0,0.0000,0.00,0.00,0,0,,0.00,64.57,7.42,9.63,0.00
1767349033.43081,0,0.0000,0.00,0.00,0,0,,0.00,64.57,6.65,9.63,0.00
1767349033.5852265,0,0.0000,0.00,0.00,0,0,,0.00,64.57,6.65,8.55,0.00
1767349033.7204857,0,0.0000,0.00,0.00,0,0,,0.00,53.22,6.65,8.55,0.00
1767349033.9623725,0,0.0000,0.00,0.00,0,0,,0.00,53.22,6.65,8.55,0.00
1767349034.111398,0,0.0000,0.00,0.00,0,0,,0.00,53.22,6.65,8.55,0.00
1767349034.3492637,0,0.0000,0.00,0.00,0,0,,0.00,53.22,6.65,8.55,0.00
1767349034.5169315,0,0.0000,0.00,0.00,0,0,,0.00,53.22,5.52,8.55,0.00
